tanggal,sumber (url),judul berita,konten
2024-09-11,https://news.detik.com/berita/d-7536467/bamsoet-ingatkan-maraknya-politik-uang-bisa-hambat-capaian-sdgs,Bamsoet Ingatkan Maraknya Politik Uang Bisa Hambat Capaian SDGs,Ketua MPR RI ke-16 Bambang Soesatyo memaparkan hasil penelitian Prof
2025-04-21,https://news.detik.com/berita/d-7878939/gede-pasek-nilai-se-gubernur-tak-bisa-dijadikan-acuan-hukum,Gede Pasek Nilai SE Gubernur Tak Bisa Dijadikan Acuan Hukum,Praktisi Hukum Gede Pasek Suardika menilai Surat Edaran (SE) gubernur tidak bisa dijadikan landasan untuk memberikan hukuman bagi masyarakat dan pelaku usaha dari semua level
2024-10-17,https://news.detik.com/berita/d-7593385/ahmad-doli-raih-detikcom-awards-tokoh-transformasi-politik-dan-demokrasi,Ahmad Doli Raih detikcom Awards 'Tokoh Transformasi Politik dan Demokrasi',"Ketua Komisi II DPR RI, Ahmad Doli Kurnia meraih detikcom Awards 2024 pada kategori Tokoh Transformasi Politik dan Demokrasi"
2025-07-18,https://news.detik.com/berita/d-8018149/tom-lembong-divonis-4-5-tahun-penjara-pengunjung-sidang-riuh,"Tom Lembong Divonis 4,5 Tahun Penjara, Pengunjung Sidang Riuh","Mantan Menteri Perdagangan Thomas Trikasih Lembong alias Tom Lembong divonis 4,5 tahun penjara dalam kasus korupsi impor gula"
2025-05-02,https://news.detik.com/kolom/d-7895659/mewaspadai-sinyal-perlambatan-ekonomi-2025,Mewaspadai Sinyal Perlambatan Ekonomi 2025,Awal 2025 menandai periode penuh tantangan bagi perekonomian Indonesia
2025-07-28,https://news.detik.com/berita/d-8033407/wa-mr-k-dibuka-di-sidang-eks-dirut-taspen-ngaku-serba-salah-menjawab,"WA 'Mr K' Dibuka di Sidang, Eks Dirut Taspen Ngaku Serba Salah Menjawab","Jaksa penuntut umum (JPU) mengungkap isi chat antara Direktur Utama PT Tabungan dan Asuransi Pegawai Negeri (Taspen) Persero 2013-2020, Iqbal Latanro, dan Dirut PT Taspen 2020-2024, Antonius NS Kosasih"
2024-11-19,https://news.detik.com/berita/d-7645458/soroti-biaya-politik-yang-tinggi-bamsoet-berpotensi-orang-terjerat-korupsi,"Soroti Biaya Politik yang Tinggi, Bamsoet: Berpotensi Orang Terjerat Korupsi","Anggota Komisi III DPR RI Bambang Soesatyo menuturkan politik berbiaya tinggi yang terjadi saat ini di Indonesia menjadi salah satu biang kerok penyebab korupsi, khususnya oleh pejabat publik yang terpilih melalui pemilihan langsung, termasuk pilkada"
2025-07-26,https://news.detik.com/berita/d-8030144/bejat-ayah-perkosa-anak-kandung-di-bawah-umur-hingga-hamil-di-serang,Bejat! Ayah Perkosa Anak Kandung di Bawah Umur Hingga Hamil di Serang,Pria berinisial JN (52) memerkosa anak kandungnya yang di bawah umur hingga hamil
2025-01-10,https://news.detik.com/berita/d-7725982/canda-hakim-mk-saat-cabup-halsel-rusihan-muhtar-duga-ada-politik-uang-di-bacan,Canda Hakim MK Saat Cabup Halsel Rusihan-Muhtar Duga Ada Politik Uang di Bacan,Pasangan calon nomor urut 2 Rusihan Jafar dan Muhtar Sumaila mendalilkan adanya pembagian uang di Kecamatan Bacan dalam Pilbup Halmahera Selatan
2025-05-02,https://news.detik.com/foto-news/d-7895912/mantan-pm-korsel-han-duck-soo-nyapres-di-tengah-krisis-politik,Mantan PM Korsel Han Duck-soo Nyapres di Tengah Krisis Politik,Korea Selatan - Mantan PM Korea Selatan Han Duck-soo resmi nyapres di Pilpres 2025
2025-05-26,https://news.detik.com/berita/d-7932934/kpk-periksa-deputi-direktur-hukum-bi-terkait-kasus-korupsi-dana-csr,KPK Periksa Deputi Direktur Hukum BI Terkait Kasus Korupsi Dana CSR,KPK terus mengusut kasus dugaan korupsi terkait dana tanggung jawab sosial atau corporate social responsibility Bank Indonesia (CSR BI)
2024-11-17,https://news.detik.com/pilkada/d-7642758/survei-indikator-politik-andika-hendi-43-46-luthfi-yasin-47-19,"Survei Indikator Politik: Andika-Hendi 43,46%, Luthfi-Yasin 47,19%",Lembaga Survei Indikator Politik Indonesia merilis hasil survei elektabilitas pasangan cagub dan cawagub di Pilgub Jawa Tengah
2024-12-08,https://news.detik.com/kolom/d-7676440/pemberlakuan-ppn-12-dorong-pertumbuhan-ekonomi-berkelanjutan,Pemberlakuan PPN 12% Dorong Pertumbuhan Ekonomi Berkelanjutan,Realisasi penerimaan pajak Indonesia per 31 Oktober 2024 tercatat sebesar Rp 1
2024-08-21,https://news.detik.com/berita/d-7500966/jimly-sebut-politik-ri-seperti-kerajaan-istana-bilang-begini,"Jimly Sebut Politik RI Seperti Kerajaan, Istana Bilang Begini",Mantan Ketua Mahkamah Konstitusi (MK) Jimly Asshiddiqie menyebutkan budaya politik Indonesia seperti kerajaan atau monarki meski bentuk pemerintahannya adalah republik
2025-04-13,https://news.detik.com/berita/d-7866706/bamsoet-bicara-peluang-ekonomi-ri-imbas-perang-dagang-as-china,Bamsoet Bicara Peluang Ekonomi RI Imbas Perang Dagang AS-China,Anggota DPR RI sekaligus Dosen Pascasarjana Ilmu Hukum Universitas Borobudur Bambang Soesatyo (Bamsoet) mengingatkan perang dagang antara Amerika Serikat (AS) dan China membawa dampak yang kompleks bagi Indonesia
2025-03-27,https://news.detik.com/berita/d-7844216/tepis-isu-perselingkuhan-ridwan-kamil-bakal-ambil-langkah-hukum,"Tepis Isu Perselingkuhan, Ridwan Kamil Bakal Ambil Langkah Hukum",Mantan Gubernur Jawa Barat Ridwan Kamil (RK) menepis isu perselingkuhan
2024-11-20,https://news.detik.com/internasional/d-7647875/qatar-bicara-soal-kantor-politik-hamas-di-doha-belum-tutup-permanen,Qatar Bicara Soal Kantor Politik Hamas di Doha Belum Tutup Permanen,"Otoritas Qatar mengungkapkan bahwa para pemimpin Hamas saat ini sedang tidak berada di Doha, ibu kota Qatar"
2024-10-22,https://news.detik.com/foto-news/d-7600276/potret-luhut-yang-tetap-dapat-posisi-meski-presiden-berganti,Potret Luhut yang Tetap Dapat Posisi Meski Presiden Berganti,Jakarta - Presiden Prabowo Subianto mengangkat Luhut Binsar Pandjaitan jadi Ketua Dewan Ekonomi Nasional
2024-12-25,https://news.detik.com/berita/d-7703021/pakar-hukum-apresiasi-kpk-tetapkan-hasto-tersangka-langkah-progresif,Pakar Hukum Apresiasi KPK Tetapkan Hasto Tersangka: Langkah Progresif,"Dosen Fakultas Hukum Universitas Jenderal Soedirman (Unsoed), Budiyono, mengapresiasi langkah KPK menetapkan Sekjen PDIP Hasto Kristiyanto sebagai tersangka di kasus dugaan suap yang juga menyeret buron Harun Masiku"
2025-07-20,https://news.detik.com/kolom/d-8020412/yogyakarta-pelopor-bangkitnya-sistem-ekonomi-pancasila,Yogyakarta Pelopor Bangkitnya Sistem Ekonomi Pancasila,"Sistem ekonomi yang dianut Indonesia sejatinya diamanatkan dalam Pasal 33 UUD NRI Tahun 1945, yang disebut dengan sistem ekonomi Pancasila"
2025-07-30,https://news.detik.com/berita/d-8036745/prabowo-kenang-kwik-kian-gie-pemikiran-beliau-pertahankan-ekonomi-pancasila,Prabowo Kenang Kwik Kian Gie: Pemikiran Beliau Pertahankan Ekonomi Pancasila,Presiden Prabowo Subianto mengenang ekonom senior Kwik Kian Gie sebagai tokoh yang selalu mempertahankan ekonomi Pancasila
2025-05-27,https://news.detik.com/kolom/d-7934817/psi-jokowi-dan-politik-piggyback,"PSI, Jokowi dan Politik Piggyback","""PSI tidak punya wajah sendiri, sosok Jokowi selalu dilekatkan"
2025-07-30,https://news.detik.com/berita/d-8036470/pesan-kalemdiklat-ke-bintara-polwan-miliki-kepekaan-dan-rasa-kemanusiaan,Pesan Kalemdiklat ke Bintara Polwan: Miliki Kepekaan dan Rasa Kemanusiaan,Kepala Lembaga Pendidikan dan Pelatihan (Kalemdiklat) Polri Komjen Chryshnanda Dwilaksana memimpin upacara Pembukaan Pendidikan Pembentukan Bintara Polwan Angkatan ke-58
2024-09-26,https://news.detik.com/kolom/d-7559064/fashion-show-politik-dan-banalitas-pilkada,Fashion Show Politik dan Banalitas Pilkada,"Dari sekian banyak Pilkada yang pernah kita lalui, semuanya hampir memiliki kesamaan: sama-sama pragmatis"
2025-01-21,https://news.detik.com/berita/d-7742385/eddy-soeparno-sebut-perdagangan-karbon-internasional-pilar-ekonomi-baru-ri,Eddy Soeparno Sebut Perdagangan Karbon Internasional Pilar Ekonomi Baru RI,Wakil Ketua MPR dari Fraksi PAN Eddy Soeparno menyampaikan dukungan terhadap pembukaan perdagangan internasional Bursa Karbon Indonesia (IDX Carbon)
2025-05-01,https://news.detik.com/berita/d-7895241/sidang-mahkamah-internasional-ri-sebut-israel-langgar-hukum-di-palestina,"Sidang Mahkamah Internasional, RI Sebut Israel Langgar Hukum di Palestina",Pemerintah Indonesia mengatakan Israel tidak memenuhi kewajiban internasional sebagai anggota Perserikatan Bangsa-Bangsa (PBB)
2025-07-25,https://news.detik.com/berita/d-8029113/pertimbangan-hakim-nyatakan-hasto-terbukti-beri-suap-untuk-paw-harun-masiku,Pertimbangan Hakim Nyatakan Hasto Terbukti Beri Suap untuk PAW Harun Masiku,Hakim menyatakan Sekjen PDIP Hasto Kristiyanto terbukti menyediakan uang Rp 400 juta untuk menyuap mantan komisioner KPU Wahyu Setiawan untuk pergantian antarwaktu (PAW) anggota DPR terhadap Harun Masiku
2025-07-20,https://news.detik.com/berita/d-8019938/kerugian-negara-di-kasus-tom-lembong-dakwaan-rp-578-m-putusan-rp-194-m,"Kerugian Negara di Kasus Tom Lembong: Dakwaan Rp 578 M, Putusan Rp 194 M","Majelis hakim Pengadilan Tipikor Jakarta Pusat telah menjatuhkan vonis 4,5 tahun penjara kepada mantan Menteri Perdagangan Thomas Trikasih Lembong atau Tom Lembong dalam kasus korupsi impor gula yang menyebabkan kerugian negara Rp 194 miliar"
2024-10-31,https://news.detik.com/berita/d-7616504/ibas-sebut-perempuan-bisa-jadi-penggerak-ekonomi,Ibas Sebut Perempuan Bisa Jadi Penggerak Ekonomi,"Wakil Ketua MPR RI, Edhie Baskoro Yudhoyono (Ibas) menyampaikan bahwa perempuan Indonesia mampu menjadi penggerak ekonomi bangsa bukanlah isapan jempol semata"
2025-01-07,https://news.detik.com/foto-news/d-7721026/momen-pm-kanada-justin-trudeau-umumkan-pengunduran-diri,Momen PM Kanada Justin Trudeau Umumkan Pengunduran Diri,"Kanada - Justin Trudeau, Perdana Menteri Kanada, mengumumkan pengunduran dirinya setelah hampir satu dekade memimpin"
2024-07-05,https://news.detik.com/pemilu/d-7424013/megawati-politik-sekarang-pragmatis-melupakan-suara-hati-demi-kekuasaan,"Megawati: Politik Sekarang Pragmatis, Melupakan Suara Hati Demi Kekuasaan",Ketua Umum PDIP Megawati Soekarnoputri menyinggung stanza-stanza di lagu Indonesia Raya saat pidato di Sekolah Partai PDIP
2025-02-11,https://news.detik.com/dw/d-7772661/blokade-politik-berakhir-lebanon-miliki-pemerintahan-baru,"Blokade Politik Berakhir, Lebanon Miliki Pemerintahan Baru",Lebanon kini mengharapkan kembalinya masa tenang dengan berakhirnya masa transisi politik di Beirut
2025-06-21,https://news.detik.com/berita/d-7975199/satgas-saber-pungli-dibubarkan-kapolri-pastikan-penegakan-hukum-tetap-jalan,"Satgas Saber Pungli Dibubarkan, Kapolri Pastikan Penegakan Hukum Tetap Jalan",Presiden Prabowo Subianto mencabut aturan soal Satuan Tugas Sapu Bersih Pungutan Liar atau Satgas Saber Pungli
2025-05-21,https://news.detik.com/berita/d-7924300/pd-serahkan-ke-pemerintah-soal-ide-tambahan-dana-parpol-pahami-efisiensi,"PD Serahkan ke Pemerintah soal Ide Tambahan Dana Parpol, Pahami Efisiensi",Komisi Pemberantasan Korupsi (KPK) mengusulkan agar partai politik diberikan tambahan dana dari APBN untuk mencegah terjadinya korupsi
2025-05-15,https://news.detik.com/kolom/d-7916180/indonesia-emas-di-tengah-gejolak-dan-eskalasi-ekonomi-politik-global,Indonesia Emas di Tengah Gejolak dan Eskalasi Ekonomi Politik Global,"Di tengah ketidakpastian ekonomi-politik global, Indonesia membuka lembaran baru di bawah kepemimpinan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka"
2024-11-15,https://news.detik.com/berita/d-7640861/jelang-pilkada-bima-arya-ajak-pemprov-gorontalo-jaga-stabilitas-politik,"Jelang Pilkada, Bima Arya Ajak Pemprov Gorontalo Jaga Stabilitas Politik",Wakil Menteri Dalam Negeri (Wamendagri) Bima Arya Sugiarto mengajak Pemerintah Provinsi (Pemprov) Gorontalo untuk menjaga stabilitas politik dan keamanan menjelang pelaksanaan Pemilihan Kepala Daerah (Pilkada) Serentak 2024
2024-11-15,https://news.detik.com/pilkada/d-7640594/survei-khofifah-49-risma-35-pengamat-politik-sebut-pilkada-jatim-dinamis,"Survei Khofifah 49%, Risma 35%, Pengamat Politik Sebut Pilkada Jatim Dinamis","Pengamat politik yang juga Direktur Eksekutif Lembaga Riset Politik 'Polbrain', Airlangga Pribadi Kusman, menyebut Pilkada Jatim masih akan berlangsung dinamis sampai hari pencoblosan pada 27 November 2024"
2025-07-24,https://news.detik.com/melindungi-tuah-marwah/d-8027969/menteri-lh-apresiasi-polda-riau-proses-hukum-pelaku-karhutla-tanpa-pandang-bulu,Menteri LH Apresiasi Polda Riau Proses Hukum Pelaku Karhutla Tanpa Pandang Bulu,Menteri Lingkungan Hidup (LH) Hanif Faisol mengapresiasi Polda Riau dalam penegakan hukum terkait kebakaran hutan dan lahan (karhutla)
2025-05-07,https://news.detik.com/berita/d-7903797/temuan-kemenham-soal-sirkus-oci-ada-dugaan-pelanggaran-hukum-ham,Temuan KemenHAM soal Sirkus OCI: Ada Dugaan Pelanggaran Hukum-HAM,Kementerian Hak Asasi Manusia (HAM) menyampaikan laporan hasil tindak lanjut kasus mantan pemain sirkus Oriental Circus Indonesia (OCI)
2025-05-13,https://news.detik.com/berita/d-7912703/puan-bertemu-pimpinan-parlemen-ceko-bahas-kerja-sama-ekonomi-pariwisata,"Puan Bertemu Pimpinan Parlemen Ceko, Bahas Kerja Sama Ekonomi-Pariwisata","Ketua DPR RI Puan Maharani menggelar pertemuan dengan pimpinan Parlemen Aljazair, Bahrain, Oman dan Republik Ceko"
2024-10-27,https://news.detik.com/berita/d-7609188/h-31-pencoblosan-kim-plus-panaskan-mesin-politik-menangkan-luthfi-yasin,"H-31 Pencoblosan, KIM Plus Panaskan Mesin Politik Menangkan Luthfi-Yasin",Ketua DPW PKB Jawa Tengah Yusuf Chudlori (Gus Yusuf) mengatakan Koalisi Indonesia Maju (KIM) Plus di Jawa Tengah sepakat memanaskan mesin partai sebulan jelang pencoblosan
2025-07-25,https://news.detik.com/berita/d-8029654/kata-pdip-soal-jadwal-kongres-usai-hasto-divonis-3-5-tahun-penjara,"Kata PDIP soal Jadwal Kongres Usai Hasto Divonis 3,5 Tahun Penjara","Sekjen PDIP Hasto Kristiyanto divonis 3,5 tahun penjara dalam kasus suap mantan komisioner KPU Wahyu Setiawan terkait pengurusan pergantian antarwaktu (PAW) anggota DPR periode 2019-2024 untuk Harun Masiku"
2025-01-03,https://news.detik.com/kolom/d-7716313/gelanggang-politik-muda-pasca-putusan-0-threshold,Gelanggang Politik Muda Pasca Putusan 0% Threshold,"Putusan Sidang Mahkamah Konstitusi (MK), Kamis (2/1), terkait penghapusan ambang batas pencalonan presiden dan calon wakil presiden atau presidential threshold 20 persen membawa angin segar"
2025-05-01,https://news.detik.com/berita/d-7895096/kpai-dukung-polisi-usut-tuntas-predator-seks-anak-jepara-desak-hukum-maksimal,"KPAI Dukung Polisi Usut Tuntas Predator Seks Anak Jepara, Desak Hukum Maksimal",Komisi Perlindungan Anak Indonesia (KPAI) mengecam pelaku predator seksual anak inisial S (21) dengan korban mencapai 31 anak
2025-07-30,https://news.detik.com/berita/d-8036503/kakorlantas-polri-dapat-penghargaan-dari-bem-nusantara-se-indonesia,Kakorlantas Polri Dapat Penghargaan dari BEM Nusantara Se-Indonesia,Koordinator Pusat Badan Eksekutif Mahasiswa (BEM) Nusantara memberi penghargaan kepada Kepala Korps Lalu Lintas (Kakorlantas) Polri Irjen Agus Suryonugroho
2025-04-29,https://news.detik.com/foto-news/d-7890636/tumpukan-boks-kontainer-penuh-gepokan-duit-di-rumah-makelar-zarof,Tumpukan Boks Kontainer Penuh Gepokan Duit di Rumah Makelar Zarof,"Jakarta - Rumah mewah mantan Pejabat Mahkamah Agung (MA) yang juga dikenal makelar kasus, Zarof Ricar, digeledah Kejaksaan Agung (Kejagung)"
2024-11-23,https://news.detik.com/pilkada/d-7653028/rk-dan-komunitas-pulogadung-bersatu-teken-kontrak-politik-tolak-radikalisme,RK dan Komunitas Pulogadung Bersatu Teken Kontrak Politik Tolak Radikalisme,"Calon gubernur (cagub) Jakarta nomor urut 1, Ridwan Kamil (RK), mengatakan akan menjadikan Jakarta kota paling toleran"
2025-07-17,https://news.detik.com/berita/d-8016306/ditolak-gugatan-redenominasi-rp-1-000-jadi-rp-1-kandas-di-mk,"Ditolak, Gugatan Redenominasi Rp 1.000 Jadi Rp 1 Kandas di MK",Gugatan redenominasi atau penyederhanaan rupiah dari Rp 1
2025-07-24,https://news.detik.com/berita/d-8027100/tren-politik-kakak-adik-antarpartai,Tren 'Politik Kakak-Adik' Antarpartai,"Belum lama ini, Ketua Umum Partai Golkar Bahlil Lahadalia berceletuk tentang hubungan partainya dengan Gerindra"
2025-03-28,https://news.detik.com/kolom/d-7845543/argumen-politik-argumen-hukum-dalam-perkara-pidana,"Argumen Politik, Argumen Hukum dalam Perkara Pidana","Berperkara di hadapan sistem peradilan pidana adalah upaya yang sungguh-sungguh untuk pembuktian 'apakah seseorang diduga keras melakukan perbuatan pidana atau tidak', 'Apakah seseorang secara faktual cukup bukti atau tidak cukup bukti telah melakukan sesuatu perbuatan pidana'"
2025-02-13,https://news.detik.com/berita/d-7775905/menerka-sosok-yang-ingin-pisahkan-prabowo-dengan-jokowi,Menerka Sosok yang Ingin Pisahkan Prabowo dengan Jokowi,Presiden Prabowo Subianto tiba-tiba menyatakan ada pihak yang ingin memisahkan dirinya dengan Presiden ke-7 RI Joko Widodo (Jokowi)
2025-05-28,https://news.detik.com/berita/d-7937981/mensos-ungkap-1-8-juta-kpm-alami-peningkatan-ekonomi,"Mensos Ungkap 1,8 Juta KPM Alami Peningkatan Ekonomi","Pemerintah mulai menyalurkan bantuan sosial (bansos) triwulan II tahun 2025 untuk 16,5 juta Keluarga Penerima Manfaat (KPM)"
2024-12-29,https://news.detik.com/berita/d-7708177/nasdem-ungkap-alasan-paloh-tak-ikut-pertemuan-ketum-parpol-kim-plus-prabowo,NasDem Ungkap Alasan Paloh Tak Ikut Pertemuan Ketum Parpol KIM Plus-Prabowo,"Ketua Umum Partai NasDem Surya Paloh tak menghadiri pertemuan para ketua umum (ketum) partai-partai Koalisi Indonesia Maju (KIM) Plus dengan Presiden Prabowo Subianto di kediaman Jalan Kertanegara, Jakarta Selatan"
2025-07-20,https://news.detik.com/berita/d-8020002/alasan-hakim-tetap-hukum-tom-lembong-meski-tak-nikmati-hasil-korupsi,Alasan Hakim Tetap Hukum Tom Lembong Meski Tak Nikmati Hasil Korupsi,"Mantan Menteri Perdagangan Thomas Trikasih Lembong atau Tom Lembong divonis 4,5 tahun penjara meski hakim menyatakan Tom tidak menikmati hasil korupsi"
2025-04-12,https://news.detik.com/berita/d-7865586/ahy-soal-pertemuan-prabowo-megawati-bagus-untuk-politik,AHY soal Pertemuan Prabowo-Megawati: Bagus untuk Politik,Ketua umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menyambut positif pertemuan Presiden Prabowo Subianto dengan Presiden ke-5 sekaligus Ketum PDIP Megawati Soekarnoputri
2024-10-18,https://news.detik.com/foto-news/d-7593635/jaksa-agung-dinobatkan-sebagai-tokoh-penegak-hukum-humanis,Jaksa Agung Dinobatkan sebagai Tokoh Penegak Hukum Humanis,Jakarta - Jaksa Agung ST Burhanuddin meraih detikcom Awards 2024 kategori Tokoh Penegak Hukum Humanis
2024-11-23,https://news.detik.com/dw/d-7653533/kenapa-pemimpin-bercorak-militer-mendominasi-politik-asia-tenggara,Kenapa Pemimpin Bercorak Militer Mendominasi Politik Asia Tenggara?,"Negeri komunis Vietnam bulan lalu menunjuk Luong Cuong, seorang jenderal militer dan mantan direktur politik Tentara Rakyat Vietnam, sebagai presiden baru"
2025-01-16,https://news.detik.com/kolom/d-7736099/rencana-pertemuan-ibu-mega-dan-pak-prabowo-wujud-politik-tanpa-konsesi,"Rencana Pertemuan Ibu Mega dan Pak Prabowo, Wujud Politik Tanpa Konsesi","Ibu Mega sudah menegaskan sendiri pada saat pidato beliau di HUT 52 Tahun PDI Perjuangan, 10 Januari 2025 lalu bahwa hubungan beliau dengan Presiden Prabowo masih dan terus terjalin dengan baik"
2025-03-16,https://news.detik.com/internasional/d-7825544/columbia-university-dikritik-gegara-ikuti-trump-hukum-aktivis-pro-palestina,Columbia University Dikritik gegara Ikuti Trump Hukum Aktivis Pro-Palestina,"Columbia University, yang merupakan salah satu kampung elite di Amerika Serikat (AS), menghukum para mahasiswa dan alumninya yang terlibat demonstrasi pro-Palestina"
2025-02-07,https://news.detik.com/berita/d-7767915/kemensos-siapkan-mitigasi-pemutakhiran-data-tunggal-sosial-ekonomi,Kemensos Siapkan Mitigasi Pemutakhiran Data Tunggal Sosial Ekonomi,Badan Pusat Statistik (BPS) telah memfinalisasi Data Tunggal Sosial Ekonomi Nasional (DTSEN)
2025-02-05,https://news.detik.com/berita/d-7764270/ct-hadiri-outlook-ekonomi-dpr-bakal-jadi-pembicara,"CT Hadiri Outlook Ekonomi DPR, Bakal Jadi Pembicara",Founder & Chairman CT Corp Chairul Tanjung (CT) menghadiri 'Outlook Ekonomi DPR: Bedah APBN 2025 Membangun Kepercayaan Pasar'
2025-05-06,https://news.detik.com/dw/d-7902526/mampukah-sanksi-sekunder-trump-tundukkan-ekonomi-rusia,Mampukah Sanksi Sekunder Trump Tundukkan Ekonomi Rusia?,Ekonomi perang Rusia mulai kehilangan momentum
2025-05-19,https://news.detik.com/berita/d-7922144/kawasan-transmigrasi-ponu-berpeluang-jadi-pusat-ekonomi-baru,Kawasan Transmigrasi Ponu Berpeluang Jadi Pusat Ekonomi Baru,Menteri Transmigrasi RI Iftitah Sulaiman bertemu dengan Bupati Timor Tengah Utara Yosep Falentinus Delasalle Kebo
2025-07-30,https://news.detik.com/dw/d-8036727/akankah-gencatan-senjata-thailand-kamboja-bertahan-lama,Akankah Gencatan Senjata Thailand-Kamboja Bertahan Lama?,Gencatan senjata yang disepakati pada Senin (28/07) antara Thailand dan Kamboja disambut dengan optimisme serta kewaspadaan dari banyak pihak
2025-04-17,https://news.detik.com/berita/d-7874087/bamsoet-dukung-jimly-award-dan-bicara-pentingnya-perbaikan-partai-politik,Bamsoet Dukung Jimly Award dan Bicara Pentingnya Perbaikan Partai Politik,"Wakil Ketua Umum Partai Golkar sekaligus anggota DPR RI, Bambang Soesatyo (Bamsoet) menyatakan dukungannya terhadap peluncuran Jimly Award yang digagas oleh Jimly School of Law and Government"
2025-06-20,https://news.detik.com/foto-news/d-7973575/gedung-putih-disambangi-sosok-bertopeng-donald-trump,Gedung Putih Disambangi Sosok Bertopeng Donald Trump,Washington - Seorang pria mengenakan topeng mirip Donald Trump beraksi di depan Gedung Putih
2025-07-18,https://news.detik.com/berita/d-8018242/hakim-nyatakan-tom-lembong-tak-nikmati-hasil-korupsi-kasus-gula,Hakim Nyatakan Tom Lembong Tak Nikmati Hasil Korupsi Kasus Gula,"Mantan Menteri Perdagangan (Mendag) Thomas Trikasih Lembong alias Tom Lembong divonis 4,5 tahun penjara di kasus korupsi impor gula"
2024-08-04,https://news.detik.com/berita/d-7473370/elektabilitas-jaro-ade-unggul-di-kabupaten-bogor-versi-indikator-politik,Elektabilitas Jaro Ade Unggul di Kabupaten Bogor Versi Indikator Politik,Indikator Politik melakukan survei elektabilitas terhadap calon bupati Bogor
2024-10-06,https://news.detik.com/kolom/d-7574344/catatan-politik-senayan-kepemimpinan-prabowo-dan-stabilitas-asia-tenggara,Catatan Politik Senayan: Kepemimpinan Prabowo dan Stabilitas Asia Tenggara,"Ketika komunitas global hari-hari ini nyaris tercabik-cabik oleh konflik dan perang di beberapa kawasan, Prabowo Subianto selaku presiden terpilih diharapkan terus mengembangkan peran dan kontribusi Indonesia di ranah internasional untuk memperkokoh stabilitas Asia tenggara"
2024-10-27,https://news.detik.com/berita/d-7608405/emak-emak-se-karesidenan-kedu-diminta-melek-politik-dukung-luthfi-yasin,Emak-emak Se-Karesidenan Kedu Diminta Melek Politik Dukung Luthfi-Yasin,"Emak-emak se-Karesidenan Kedu (Magelang, Temanggung, Wonosobo, Kebumen, Purworejo) diminta melek terhadap kontestasi politik di Jawa Tengah"
2025-03-11,https://news.detik.com/berita/d-7817975/melihat-peluang-besar-ekonomi-dari-koperasi-desa-merah-putih,Melihat Peluang Besar Ekonomi dari Koperasi Desa Merah Putih,Presiden Prabowo Subianto beberapa waktu lalu menggelar rapat terbatas bersama sejumlah menteri untuk membahas strategi penguatan ekonomi desa
2025-02-10,https://news.detik.com/foto-news/d-7772160/komisi-3-dpr-ky-bahas-substansi-hukum-acara-pidana,Komisi 3 DPR-KY Bahas Substansi Hukum Acara Pidana,Jakarta - Komisi III DPR gelar rapat kerja dengan Komisi Yudisial
2025-07-26,https://news.detik.com/berita/d-8030490/ayah-pemerkosa-anak-di-serang-sempat-kabur-3-bulan-sembunyi-di-gubuk,"Ayah Pemerkosa Anak di Serang Sempat Kabur 3 Bulan, Sembunyi di Gubuk",Pria berinisial JN (57) memerkosa anak kandungnya sendiri yang berumur (17) hingga hamil di Kabupaten Serang
2025-02-16,https://news.detik.com/berita/d-7781003/bamsoet-dukung-gagasan-prabowo-ri-harus-miliki-sistem-politik-khas,"Bamsoet Dukung Gagasan Prabowo, RI Harus Miliki Sistem Politik Khas",Anggota DPR RI sekaligus Wakil Ketua Umum Partai Golkar dan Wakil Ketua Umum/Kepala Badan Bela Negara FKPPI Bambang Soesatyo mendukung gagasan Presiden Prabowo Subianto bahwa Indonesia harus kembali memiliki sistem politik yang khas Indonesia
2024-08-14,https://news.detik.com/berita/d-7488712/kuasa-hukum-pastikan-harvey-moeis-siap-jalani-sidang-perdana-kasus-timah,Kuasa Hukum Pastikan Harvey Moeis Siap Jalani Sidang Perdana Kasus Timah,Harvey Moeis akan menjalani sidang perdana kasus dugaan korupsi timah hari ini
2025-07-18,https://news.detik.com/berita/d-8017303/di-ruang-sidang-hasto-bawa-bawa-kasus-anas-urbaningrum-dan-antasari-azhar,"Di Ruang Sidang, Hasto Bawa-bawa Kasus Anas Urbaningrum dan Antasari Azhar",Sekjen PDIP Hasto Kristiyanto membawa-bawa kasus korupsi proyek Hambalang yang menjerat mantan Ketua Umum Partai Demokrat Anas Urbaningrum
2024-11-21,https://news.detik.com/berita/d-7649865/menag-ungkap-angka-perceraian-akibat-judol-dan-beda-pilihan-politik-meningkat,Menag Ungkap Angka Perceraian Akibat Judol dan Beda Pilihan Politik Meningkat,Menteri Agama (Menag) Nasaruddin Umar mengungkap angka perceraian naik karena maraknya judi online
2025-07-18,https://news.detik.com/berita/d-8017449/muncul-kelompok-kriminal-politik-di-papua-tanpa-senjata-tapi-lebih-bahaya,"Muncul Kelompok Kriminal Politik di Papua, Tanpa Senjata Tapi Lebih Bahaya",Polisi mengungkap kemunculan kelompok kriminal politik (KKP) di Papua
