tanggal,sumber (url),judul berita,konten
2025-01-22,https://news.detik.com/dw/d-7744242/donald-trump-mengguncang-politik-jerman,Donald Trump Mengguncang Politik Jerman,Donald Trump telah mengonfirmasi semua ketakutan terburuk dari banyak politisi Jerman
2025-05-09,https://news.detik.com/berita/d-7907667/penyidik-kpk-penggeledahan-kasus-harun-masiku-termonitor-tim-hukum-pdip,Penyidik KPK: Penggeledahan Kasus Harun Masiku Termonitor Tim Hukum PDIP,Penyidik KPK AKBP Rossa Purbo Bekti menyebut penggeledahan yang dilakukan terkait kasus Harun Masiku termonitor oleh tim hukum DPP PDIP
2025-07-22,https://news.detik.com/berita/d-8023918/ada-tarif-khusus-kai-harga-tiket-ekonomi-mulai-rp-30-ribu-dan-info-rutenya,Ada Tarif Khusus KAI: Harga Tiket Ekonomi Mulai Rp 30 Ribu dan Info Rutenya,"PT Kereta Api Indonesia (Persero) menghadirkan program tarif khusus kereta api agar pelanggan bisa mendapatkan tiket dengan harga lebih terjangkau, khususnya bagi mereka yang memutuskan bepergian secara mendadak"
2025-03-02,https://news.detik.com/berita/d-7802801/demiindonesia-mandiri-pangan-hadirkan-expo-hasil-panen-ekonomi-kreatif,#DemiIndonesia Mandiri Pangan Hadirkan Expo Hasil Panen & Ekonomi Kreatif,Ketahanan pangan menjadi salah satu program unggulan dari Prabowo-Gibran
2024-12-14,https://news.detik.com/berita/d-7686922/rano-karno-hadir-hut-perindo-angela-politik-dan-persahabatan-jalan-bareng,"Rano Karno Hadir HUT Perindo, Angela: Politik dan Persahabatan Jalan Bareng","Cawagub Jakarta, Rano Karno, hadir dalam acara puncak HUT ke-10 Partai Perindo"
2025-04-09,https://news.detik.com/berita/d-7860915/analisis-pakar-di-balik-pertemuan-prabowo-dan-megawati-di-teuku-umar,Analisis Pakar di Balik Pertemuan Prabowo dan Megawati di Teuku Umar,"Presiden Prabowo Subianto bertemu dengan Ketua Umum PDIP Megawati Soekarnoputri di Teuku Umar, Menteng, Jakarta Pusat"
2025-02-07,https://news.detik.com/berita/d-7768270/polri-dalami-motif-selain-ekonomi-di-kasus-deepfake-catut-prabowo,Polri Dalami Motif Selain Ekonomi di Kasus Deepfake Catut Prabowo,"Direktorat Tindak Pidana Siber (Dittipidsiber) Bareskrim Polri telah menangkap JS (25), pelaku deepfake atau pembuat video palsu yang mencatut Presiden Prabowo Subianto"
2025-03-17,https://news.detik.com/berita/d-7827320/ronald-tannur-kami-sekeluarga-taat-hukum-ini-kasus-yang-pertama,"Ronald Tannur: Kami Sekeluarga Taat Hukum, Ini Kasus yang Pertama",Gregorius Ronald Tannur mengatakan ia dan keluarganya merupakan rakyat Indonesia yang taat hukum
2025-07-30,https://news.detik.com/berita/d-8036612/prabowo-melayat-ke-rumah-duka-kwik-kian-gie-di-sentosa-rspad,Prabowo Melayat ke Rumah Duka Kwik Kian Gie di Sentosa RSPAD,"Presiden Prabowo Subianto melayat ke rumah duka ekonom senior Kwik Kian Gie di Rumah Duka Sentosa RSPAD, Jakarta Pusat"
2025-01-03,https://news.detik.com/kolom/d-7716738/mengembangkan-ekonomi-biru-untuk-menopang-swasembada-pangan,Mengembangkan Ekonomi Biru untuk Menopang Swasembada Pangan,Memasuki tahun 2025 berarti menyisakan dua tahun menuju target swasembada pangan nasional yang sudah ditetapkan oleh Bapak Presiden Prabowo Subianto
2024-12-12,https://news.detik.com/berita/d-7683019/alasan-ma-hukum-ronald-tannur-5-tahun-bui-meski-1-hakim-sepakat-vonis-bebas,Alasan MA Hukum Ronald Tannur 5 Tahun Bui Meski 1 Hakim Sepakat Vonis Bebas,Mahkamah Agung (MA) menerima kasasi yang diajukan jaksa terhadap vonis bebas Gregorius Ronald Tannur dalam kasus tewasnya Dini Sera Afrianti dan menjatuhkan hukuman 5 tahun penjara
2025-02-24,https://news.detik.com/berita/d-7792828/puan-selamat-atas-peluncuran-danantara-semoga-gerakkan-ekonomi-nasional,"Puan: Selamat atas Peluncuran Danantara, Semoga Gerakkan Ekonomi Nasional",Ketua DPR RI Puan Maharani mengapresiasi peluncuran Badan Pengelola Investasi Daya Anagata Nusantara (Danantara) oleh Presiden Prabowo Subianto
2025-07-25,https://news.detik.com/berita/d-8028839/sekjen-pdip-hasto-peluk-cium-istri-lalu-salam-metal-jelang-sidang-vonis,Sekjen PDIP Hasto Peluk-Cium Istri lalu Salam Metal Jelang Sidang Vonis,Sekjen PDIP Hasto Kristiyanto menghadapi sidang vonis kasus dugaan suap PAW anggota DPR untuk Harun Masiku dan perintangan penyidikan hari ini
2025-04-19,https://news.detik.com/berita/d-7875826/pakar-nilai-alasan-hukum-prabowo-digugat-terkait-mendes-yandri-lemah,Pakar Nilai Alasan Hukum Prabowo Digugat Terkait Mendes Yandri Lemah,"Guru Besar Hukum Tata Negara Universitas Esa Unggul Jakarta, Prof Juanda, menanggapi gugatan Yayasan Citta Loka Taru terhadap Presiden RI Prabowo Subianto lantaran tak memberhentikan Mendes PDT Yandri Susanto"
2024-07-18,https://news.detik.com/berita/d-7444765/praktisi-hukum-gugat-uu-pemilu-ke-mk-minta-pelantikan-presiden-dipercepat,Praktisi Hukum Gugat UU Pemilu ke MK Minta Pelantikan Presiden Dipercepat,Mahkamah Konstitusi (MK) menggelar sidang pemeriksaan permohonan uji materil atas UU Pemilu Nomor 7 Tahun 2017 tentang waktu pelantikan presiden dan wakil presien
2024-08-29,https://news.detik.com/berita/d-7514349/puan-di-paripurna-politik-itu-mahal-kalah-pun-keluarkan-dana-besar,"Puan di Paripurna: Politik Itu Mahal, Kalah Pun Keluarkan Dana Besar",DPR RI menggelar rapat paripurna khusus hari ulang tahun ke-79 DPR RI hari ini
2025-03-13,https://news.detik.com/bbc-world/d-7820780/perseteruan-dinasti-politik-filipina-di-balik-penangkapan-duterte,Perseteruan Dinasti Politik Filipina di Balik Penangkapan Duterte,"Tepat sebelum ulang tahunnya yang ke-80, Rodrigo Duterte, seorang pria yang pernah bersumpah untuk membersihkan Filipina dari narkoba dan tindakan kriminal, ditahan dan dikirim ke Belanda"
2025-02-19,https://news.detik.com/berita/d-7784895/maki-dorong-penahanan-hasto-untuk-bukti-kpk-tidak-takut-tekanan-politik,MAKI Dorong Penahanan Hasto: Untuk Bukti KPK Tidak Takut Tekanan Politik,Masyarakat Antikorupsi Indonesia (MAKI) meminta KPK tidak berlarut-larut dalam mengusut kasus korupsi yang menjerat Sekjen PDIP Hasto Kristiyanto
2025-07-15,https://news.detik.com/foto-news/d-8012544/penandatanganan-mou-dewan-pers-dan-kejagung,Penandatanganan MoU Dewan Pers dan Kejagung,Jakarta - Dewan Pers dan Kejaksaan Agung teken nota kesepahaman terkait penegakan hukum
2024-07-30,https://news.detik.com/berita/d-7464702/pertimbangan-hakim-tak-hukum-djoko-dwijono-ganti-rp-510-m-di-korupsi-tol-mbz,Pertimbangan Hakim Tak Hukum Djoko Dwijono Ganti Rp 510 M di Korupsi Tol MBZ,Mantan Direktur Utama PT Jasamarga Jalan Layang Cikampek (JJC) Djoko Dwijono divonis 3 tahun penjara dalam kasus korupsi proyek pembangunan Tol Jakarta-Cikampek (Japek) II alias Tol Layang MBZ tahun 2016-2017 yang merugikan negara Rp 510 miliar
2025-02-21,https://news.detik.com/berita/d-7788551/pakar-hukum-dukung-kpk-tahan-hasto-semua-sama-di-mata-hukum,Pakar Hukum Dukung KPK Tahan Hasto: Semua Sama di Mata Hukum,Pakar hukum dari Untirta Aan Asphianto mendukung KPK menahan Sekjen PDIP Hasto Kristiyanto di kasus suap dan perintangan penyidikan perkara buron Harun Masiku
2025-07-25,https://news.detik.com/berita/d-8028416/pendukung-hasto-demo-di-pn-jakpus-jelang-vonis-ada-yang-bawa-keranda,"Pendukung Hasto Demo di PN Jakpus Jelang Vonis, Ada yang Bawa Keranda",Sekjen PDIP Hasto Kristiyanto menghadapi sidang vonis kasus dugaan suap pengurusan pergantian antarwaktu (PAW) anggota DPR untuk Harun Masiku dan perintangan penyidikan
2024-12-01,https://news.detik.com/pilkada/d-7665964/pdip-klaim-menang-di-14-provinsi-247-kabupaten-suara-rakyat-suara-tuhan,PDIP Klaim Menang di 14 Provinsi-247 Kabupaten: Suara Rakyat Suara Tuhan,Sekretaris Jenderal (Sekjen) PDIP Hasto Kristiyanto mengatakan partainya memenangkan 14 provinsi di penyelenggaraan Pilkada 2024
2024-08-21,https://news.detik.com/berita/d-7500419/jimly-sebut-politik-ri-seperti-kerajaan-pd-negara-terus-berproses,"Jimly Sebut Politik RI Seperti Kerajaan, PD: Negara Terus Berproses",Mantan Ketua Mahkamah Konstitusi (MK) Jimly Asshiddiqie menyebutkan budaya politik Indonesia seperti kerajaan atau monarki meski bentuk pemerintahannya adalah republik
2025-04-09,https://news.detik.com/kolom/d-7860705/indonesia-akan-mampu-bertahan-dalam-perang-ekonomi-global,Indonesia Akan Mampu Bertahan dalam Perang Ekonomi Global,"Saya mengajak masyarakat Indonesia untuk bersatu padu di bawah Pemerintahan Negara RI, karena perkiraan keadaan strategis ini"
2025-07-30,https://news.detik.com/berita/d-8036698/pesan-sby-ke-pemimpin-dunia-jangan-bermain-main-dengan-kekuasaan,Pesan SBY ke Pemimpin Dunia: Jangan Bermain-main dengan Kekuasaan,Presiden ke-6 RI Susilo Bambang Yudhoyono (SBY) mengingatkan pemimpin dunia untuk menggunakan kekuasaan secara tepat
2024-10-27,https://news.detik.com/foto-news/d-7609316/tiga-pasangan-calon-saling-serang-gagasan-ekonomi-di-debat-pilgub-jakarta,Tiga Pasangan Calon Saling Serang Gagasan Ekonomi di Debat Pilgub Jakarta,Jakarta - Debat kedua Pilgub Jakarta berlangsung menarik
2025-07-30,https://news.detik.com/berita/d-8036242/kenneth-dprd-dki-apresiasi-kerja-pramono-rano-jakarta-mampu-tekan-kemiskinan,"Kenneth DPRD DKI Apresiasi Kerja Pramono-Rano, Jakarta Mampu Tekan Kemiskinan","Badan Pusat Statistik (BPS) mencatat jumlah penduduk miskin di Indonesia per Maret 2025 mencapai 23,85 juta orang atau 8,47%"
2024-11-06,https://news.detik.com/foto-news/d-7624910/antusias-warga-dunia-pantau-pilpres-as-2024,Antusias Warga Dunia Pantau Pilpres AS 2024,Jakarta - Pemungutan suara Pilpres AS 2024 digelar Selasa (5/11) waktu setempat
2025-07-30,https://news.detik.com/melindungi-tuah-marwah/d-8036793/gerakan-pramuka-di-kepenuhan-rohul-tanam-pohon-dukung-green-policing,Gerakan Pramuka di Kepenuhan Rohul Tanam Pohon Dukung Green Policing,Polres Rokan Hulu (Rohul) berkomitmen mewujudkan Green Policing yang menjadi program unggulan Polda Riau
2025-05-09,https://news.detik.com/berita/d-7907925/burhanuddin-abdullah-temui-prabowo-di-istana-bahas-perbaikan-ekonomi,"Burhanuddin Abdullah Temui Prabowo di Istana, Bahas Perbaikan Ekonomi",Ketua Tim Pakar dan Inisiator Badan Pengelola Investasi (BPI) Danantara Burhanuddin Abdullah menghadap Presiden Prabowo Subianto di Istana Kepresidenan Jakarta hari ini
2025-06-03,https://news.detik.com/berita/d-7945885/adian-respons-survei-popularitas-ipo-pesan-ibu-megawati-bergema,Adian Respons Survei Popularitas IPO: Pesan Ibu Megawati Bergema!,Lembaga survei Indonesia Political Opinion (IPO) membeberkan hasil survei tingkat popularitas partai politik di Indonesia yang menempatkan PDIP di urutan pertama
2025-04-10,https://news.detik.com/kolom/d-7862327/badai-phk-kemiskinan-dan-strategi-ekonomi,"Badai PHK, Kemiskinan, dan Strategi Ekonomi",Produsen alat musik PT Yamaha Music Product Asia di Jakarta dan Bekasi mengumumkan penutupan pabrik pada akhir Maret 2025
2024-09-05,https://news.detik.com/kolom/d-7524264/pilkada-dan-rayuan-partai-politik,Pilkada dan Rayuan Partai Politik,"Meski Putusan MK sudah diakomodasi dalam Revisi UU Pilkada namun harapan masyarakat untuk memiliki kepala daerah, baik itu gubernur, wali kota, maupun bupati yang sesuai dengan pilihan hati nurani, 'seiman' atau 'seideologis', tak semuanya bisa terpenuhi"
2025-07-18,https://news.detik.com/melindungi-tuah-marwah/d-8016948/polda-riau-bongkar-tppo-menteri-p2mi-kalau-ada-bos-mafianya-hukum-berat,"Polda Riau Bongkar TPPO, Menteri P2MI: Kalau Ada Bos Mafianya, Hukum Berat","Menteri Perlindungan Pekerja Migran Indonesia (P2MI), Abdul Kadir Karding, menduga ada banyak 'pemain' praktik pengiriman pekerja migran Indonesia (PMI) secara non-prosedural"
2025-06-26,https://news.detik.com/berita/d-7984010/pakar-hukum-bicara-denda-damai-pelaku-korupsi-di-kasus-pajak-hingga-perbankan,Pakar Hukum Bicara Denda Damai Pelaku Korupsi di Kasus Pajak hingga Perbankan,"Guru besar hukum, Pujiyono Suwadi, berbicara tentang denda damai untuk tindak pidana korupsi (tipikor)"
2025-04-14,https://news.detik.com/berita/d-7869026/nusron-dorong-produktivitas-tanah-di-sulteng-untuk-tumbuhkan-ekonomi,Nusron Dorong Produktivitas Tanah di Sulteng untuk Tumbuhkan Ekonomi,"Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Nusron Wahid mendorong optimalisasi produktivitas tanah untuk menggenjot ekonomi di Sulawesi Tengah (Sulteng)"
2025-01-10,https://news.detik.com/berita/d-7726204/guru-supriyani-gagal-jadi-pppk-kuasa-hukum-singgung-janji-mendikdasmen,"Guru Supriyani Gagal Jadi PPPK, Kuasa Hukum Singgung Janji Mendikdasmen","Guru honorer Supriyani di Konawe Selatan, Sulawesi Tenggara (Sultra), gagal lolos dalam seleksi pegawai pemerintah dengan perjanjian kerja (PPPK)"
2025-07-09,https://news.detik.com/kolom/d-8003316/positioning-politik-prabowo,Positioning Politik Prabowo,Posisi adalah salah satu hal yang paling krusial dalam strategi perang
2024-07-21,https://news.detik.com/pemilu/d-7450040/larangan-politik-uang-dalam-pilkada-ini-sanksinya,"Larangan Politik Uang dalam Pilkada, Ini Sanksinya",Politik uang adalah salah satu bentuk pelanggaran dalam pemilihan
2025-02-26,https://news.detik.com/berita/d-7796287/ahli-hukum-usul-pemilu-nasional-dan-pilkada-dijeda-2-tahun,Ahli Hukum Usul Pemilu Nasional dan Pilkada Dijeda 2 Tahun,"Ahli hukum Pemilu Fakultas Hukum Universitas Indonesia (FH UI), Titi Anggraini, mengusulkan Pilpres-Pileg dan Pilkada tidak digelar di tahun yang sama"
2025-01-02,https://news.detik.com/kolom/d-7714294/meraih-peluang-ekonomi-di-tahun-2025,Meraih Peluang Ekonomi di Tahun 2025,"Dalam kepercayaan warga Tionghoa, tahun 2025 adalah tahun shio ular kayu, yang melambangkan pengetahuan dan keanggunan"
2025-02-04,https://news.detik.com/berita/d-7762057/polemik-manfaat-pensiun-jiwasraya-dpr-dorong-kepatuhan-hukum,"Polemik Manfaat Pensiun Jiwasraya, DPR Dorong Kepatuhan Hukum",Komisi VI DPR RI menggelar Rapat Dengar Pendapat Umum (RDPU) dengan Perkumpulan Pensiunan Jiwasraya dan Pengurus Pusat Perkumpulan Pensiunan Pupuk Kaltim (PP-PKT)
2025-06-20,https://news.detik.com/berita/d-7973540/periksa-bupati-oku-kpk-dalami-perbuatan-melawan-hukum-di-pengadaan-proyek-pupr,"Periksa Bupati OKU, KPK Dalami Perbuatan Melawan Hukum di Pengadaan Proyek PUPR","KPK telah memeriksa Bupati Ogan Komering Ulu (OKU), Teddy Meilwansyah (TM) sebagai saksi terkait kasus dugaan suap dan pemotongan anggaran pada proyek di Dinas PUPR OKU"
2024-11-18,https://news.detik.com/pilkada/d-7644325/cipayung-plus-jakarta-serukan-pilkada-damai-dan-bebas-politik-uang,Cipayung Plus Jakarta Serukan Pilkada Damai dan Bebas Politik Uang,Organisasi Kemasyarakatan dan Pemuda (OKP) Cipayung Plus Jakarta menyerukan Pilkada Jakarta Damai 2024
2024-10-08,https://news.detik.com/foto-news/d-7577703/begini-suasana-sidang-gugatan-rp-5-246-t-habib-rizieq-ke-jokowi,Begini Suasana Sidang Gugatan Rp 5.246 T Habib Rizieq ke Jokowi,Jakarta - Sidang gugatan perdata Rp 5
2025-05-28,https://news.detik.com/berita/d-7938067/sarmuji-golkar-sebut-generasi-muda-anggap-politik-penuh-akal-busuk,Sarmuji Golkar Sebut Generasi Muda Anggap Politik Penuh Akal Busuk,Sekretaris Jenderal (Sekjen) Partai Golkar Muhammad Sarmuji mengatakan partainya terus berupaya memperkenalkan politik ke anak muda
2024-08-26,https://news.detik.com/berita/d-7508500/gerindra-jelaskan-maksud-prabowo-soal-intel-jangan-ngintelin-lawan-politik,Gerindra Jelaskan Maksud Prabowo soal Intel Jangan Ngintelin Lawan Politik,Presiden terpilih Prabowo Subianto berbicara tentang pihak yang mengadu domba terkait hubungannya dengan Presiden Joko Widodo (Jokowi) hingga jangan menggunakan intel untuk memantau lawan politik di Kongres PAN
2025-06-02,https://news.detik.com/berita/d-7944168/bukit-asam-beberkan-program-padat-karya-untuk-dukung-ekonomi-warga-lokal,Bukit Asam Beberkan Program Padat Karya untuk Dukung Ekonomi Warga Lokal,PT Bukit Asam Tbk (PTBA) telah menyiapkan sejumlah program untuk menggerakkan roda perekonomian masyarakat di sekitar wilayah operasional
2025-06-09,https://news.detik.com/berita/d-7956023/lestari-moerdijat-dorong-seriusnya-hukum-lindungi-perempuan-dan-anak,Lestari Moerdijat Dorong Seriusnya Hukum Lindungi Perempuan dan Anak,Wakil Ketua MPR RI Lestari Moerdijat menyoroti masih tingginya kekerasan terhadap perempuan dan anak di Indonesia
2025-05-28,https://news.detik.com/berita/d-7936457/muhammadiyah-desak-proses-hukum-ayam-goreng-widuran-ternyata-nonhalal,Muhammadiyah Desak Proses Hukum Ayam Goreng Widuran Ternyata Nonhalal,Restoran Ayam Goreng Widuran di Solo menuai sorotan setelah viral ketahuan mengandung bahan olahan nonhalal
2025-06-12,https://news.detik.com/berita/d-7961419/kaesang-dapat-wejangan-dari-pramono-soal-politik-tak-menghina-orang,Kaesang Dapat Wejangan dari Pramono soal Politik: Tak Menghina Orang,"Ketum Partai Solidaritas Indonesia (PSI), Kaesang Pangarep, menemui Gubernur DKI Jakarta Pramono Anung"
2025-07-17,https://news.detik.com/dw/d-8015334/ekonomi-china-tumbuh-5-2-di-tengah-tekanan-tarif-as,"Ekonomi China Tumbuh 5,2% di Tengah Tekanan Tarif AS","Ekonomi Cina tercatat mengalami pertumbuhan 5,2% di pada kuartal kedua 2025 (April-Juni 2025), seperti yang dikutip Reuters dari data Badan Statistik Nasional negara tersebut (NBS)"
